,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,thompson,55.7435,-97.8558,-27.4,68,40,12.66,CA,1612662454
1,luderitz,-26.6481,15.1594,67.42,70,0,22.7,NA,1612662656
2,kapaa,22.0752,-159.319,73.99,49,40,6.91,US,1612662240
3,kousseri,12.0769,15.0306,65.98,23,41,9.98,CM,1612662937
4,punta arenas,-53.15,-70.9167,51.8,66,0,17.27,CL,1612662441
5,isangel,-19.55,169.2667,86.0,79,20,5.75,VU,1612662471
6,barrow,71.2906,-156.7887,-5.8,77,90,14.97,US,1612662445
7,tongren,27.7172,109.1853,56.25,78,99,2.06,CN,1612662937
8,hithadhoo,-0.6,73.0833,81.3,75,61,12.77,MV,1612662457
9,vaini,-21.2,-175.2,84.2,84,75,9.22,TO,1612662447
10,san javier,37.8063,-0.8374,57.0,76,0,8.05,ES,1612662937
11,torbay,47.6666,-52.7314,43.0,93,75,24.16,CA,1612662245
12,geraldton,-28.7667,114.6,73.4,78,75,23.02,AU,1612662481
13,cidreira,-30.1811,-50.2056,67.48,77,10,5.3,BR,1612662445
14,zhigansk,66.7697,123.3711,-35.57,81,100,13.67,RU,1612662360
15,hay river,60.8156,-115.7999,-34.6,67,9,4.61,CA,1612662506
16,hermanus,-34.4187,19.2345,66.99,94,98,4.76,ZA,1612662453
17,kodiak,57.79,-152.4072,37.4,65,1,10.36,US,1612662448
18,ugoofaaru,5.6667,73.0,81.37,72,16,10.74,MV,1612662553
19,college,64.8569,-147.8028,-5.01,77,90,1.57,US,1612662290
20,bredasdorp,-34.5322,20.0403,66.2,88,98,3.44,ZA,1612662495
21,fort nelson,58.8053,-122.7002,-20.2,76,1,2.19,CA,1612662938
22,yulara,-25.2406,130.9889,86.0,23,1,17.27,AU,1612662674
23,lompoc,34.6391,-120.4579,60.8,63,1,9.22,US,1612662448
24,qaanaaq,77.484,-69.3632,10.69,87,100,7.56,GL,1612662450
25,pathein,16.7833,94.7333,78.94,63,0,8.16,MM,1612662938
26,kruisfontein,-34.0033,24.7314,63.0,89,1,1.01,ZA,1612662430
27,georgetown,5.4112,100.3354,82.4,74,20,8.05,MY,1612662457
28,tasiilaq,65.6145,-37.6368,33.8,55,72,28.77,GL,1612662440
29,rikitea,-23.1203,-134.9692,78.78,69,73,10.56,PF,1612662438
30,bealanana,-14.55,48.7333,63.07,91,53,1.21,MG,1612662939
31,ponta do sol,32.6667,-17.1,54.0,66,23,5.01,PT,1612662270
32,haysyn,48.8114,29.3898,16.23,96,100,8.55,UA,1612662939
33,mataura,-46.1927,168.8643,81.88,46,13,1.63,NZ,1612662442
34,meulaboh,4.1363,96.1285,79.41,83,80,4.5,ID,1612662471
35,mayo,38.8876,-76.5119,42.8,56,1,3.85,US,1612662689
36,qaqortoq,60.7167,-46.0333,22.53,83,95,3.4,GL,1612662528
37,vagay,57.9375,69.0217,30.67,99,100,10.22,RU,1612662940
38,busselton,-33.65,115.3333,62.01,95,100,1.99,AU,1612662445
39,safakulevo,54.9901,62.5442,7.5,94,100,22.1,RU,1612662940
40,villa carlos paz,-31.4241,-64.4978,75.0,57,0,5.99,AR,1612662940
41,ushuaia,-54.8,-68.3,50.0,76,75,12.66,AR,1612662403
42,jamestown,42.097,-79.2353,17.6,49,1,6.91,US,1612662390
43,camocim,-2.9022,-40.8411,78.94,81,0,12.75,BR,1612662460
44,albany,42.6001,-73.9662,26.01,46,0,2.91,US,1612662162
45,mombetsu,44.3525,143.3525,17.6,93,75,6.91,JP,1612662941
46,victoria,22.2855,114.1577,73.0,46,0,11.01,HK,1612662273
47,sobolevo,54.4299,31.8996,-5.06,92,67,8.05,RU,1612662941
48,flin flon,54.7682,-101.865,-29.51,82,2,8.48,CA,1612662448
49,puerto ayora,-0.7393,-90.3518,77.0,94,66,6.76,EC,1612662442
50,chapais,49.7834,-74.8492,12.2,79,40,11.5,CA,1612662703
51,bandarbeyla,9.4942,50.8122,74.75,82,7,11.14,SO,1612662670
52,te anau,-45.4167,167.7167,75.9,38,0,5.68,NZ,1612662649
53,quatre cocos,-20.2078,57.7625,75.0,86,4,1.99,MU,1612662696
54,san jeronimo,-11.9472,-75.2829,51.64,74,88,3.33,PE,1612662942
55,east london,-33.0153,27.9116,72.7,87,75,17.58,ZA,1612662249
56,san rafael del sur,11.8485,-86.4384,84.2,61,20,6.91,NI,1612662942
57,pokaran,26.9167,71.9167,56.17,36,0,6.69,IN,1612662801
58,itaituba,-4.2761,-55.9836,82.4,83,0,2.55,BR,1612662476
59,novopokrovka,49.8425,36.5477,8.6,72,40,8.95,UA,1612662943
60,pundaguitan,6.3711,126.1689,80.64,77,100,7.74,PH,1612662943
61,severo-kurilsk,50.6789,156.125,22.71,93,93,21.92,RU,1612662286
62,swellendam,-34.0226,20.4417,66.2,88,12,3.44,ZA,1612662781
63,bosobolo,4.1833,19.9,68.74,32,2,1.99,CD,1612662943
64,asau,46.4333,26.4,27.0,73,100,3.69,RO,1612662943
65,nome,64.5011,-165.4064,17.6,73,90,3.44,US,1612662290
66,dikson,73.5069,80.5464,-27.47,87,90,9.57,RU,1612662437
67,cabo san lucas,22.8909,-109.9124,69.8,60,20,8.05,MX,1612662472
68,lithakia,37.7167,20.8333,46.4,93,100,3.44,GR,1612662943
69,cape town,-33.9258,18.4232,70.0,83,20,11.5,ZA,1612662197
70,piet retief,-27.0071,30.8132,59.4,96,71,1.9,ZA,1612662944
71,belle fourche,44.6714,-103.8522,5.0,78,90,13.42,US,1612662944
72,chontalpa,17.7,-93.5167,71.91,81,0,5.68,MX,1612662944
73,karratha,-20.7377,116.8463,83.03,48,0,9.19,AU,1612662670
74,tuktoyaktuk,69.4541,-133.0374,-16.6,76,90,19.57,CA,1612662503
75,castro,-24.7911,-50.0119,61.25,92,42,10.87,BR,1612662260
76,zhangjiakou,40.81,114.8794,19.72,77,0,6.76,CN,1612662944
77,arlit,18.7369,7.3853,61.77,26,20,5.46,NE,1612662451
78,penzance,50.1186,-5.5371,39.0,93,75,11.5,GB,1612662552
79,hobart,-42.8794,147.3294,68.0,63,75,17.27,AU,1612662440
80,rimouski,48.4488,-68.524,26.6,59,3,32.21,CA,1612662849
81,dhidhdhoo,6.8833,73.1,81.28,68,1,9.91,MV,1612662944
82,lazaro cardenas,17.9583,-102.2,73.9,75,0,1.59,MX,1612662507
83,udachnyy,66.4167,112.4,-35.09,80,6,6.49,RU,1612662945
84,cherskiy,68.75,161.3,-2.88,81,0,3.31,RU,1612662462
85,nikolskoye,59.7035,30.7861,10.4,85,75,15.66,RU,1612662436
86,isla aguada,18.7833,-91.4667,78.8,65,1,4.61,MX,1612662945
87,anadyr,64.75,177.4833,-9.0,84,0,8.95,RU,1612662801
88,upernavik,72.7868,-56.1549,18.97,75,0,4.59,GL,1612662451
89,henties bay,-22.116,14.2845,63.0,90,7,3.0,NA,1612662467
90,almaznyy,48.0448,40.045,19.4,79,20,8.95,RU,1612662945
91,faya,18.3851,42.4509,46.4,87,40,1.07,SA,1612662490
92,faanui,-16.4833,-151.75,83.08,65,0,10.07,PF,1612662505
93,tiksi,71.6872,128.8694,-25.76,84,100,5.35,RU,1612662454
94,arraial do cabo,-22.9661,-42.0278,72.1,84,100,7.67,BR,1612662397
95,prince george,53.9166,-122.753,7.0,78,40,5.75,CA,1612662946
96,mana,5.6592,-53.7767,77.16,87,100,12.41,GF,1612662946
97,chake chake,-5.2459,39.7666,77.31,82,98,6.71,TZ,1612662946
98,beloha,-25.1667,45.05,73.99,95,23,3.09,MG,1612662493
99,amapa,1.0,-52.0,71.62,98,94,1.79,BR,1612662437
100,vao,-22.6667,167.4833,78.03,80,0,5.46,NC,1612662491
101,clifton,40.8584,-74.1638,41.0,38,1,5.75,US,1612662946
102,choix,26.7092,-108.3219,68.68,33,54,0.51,MX,1612662946
103,ortakoy,38.7373,34.0387,37.4,65,0,11.5,TR,1612662946
104,ciudad del maiz,22.4,-99.6,71.01,40,32,21.0,MX,1612662670
105,port alfred,-33.5906,26.891,68.0,87,37,5.01,ZA,1612662440
106,hilo,19.7297,-155.09,78.8,53,75,5.75,US,1612662438
107,praia da vitoria,38.7333,-27.0667,60.8,82,20,13.76,PT,1612662451
108,chokurdakh,70.6333,147.9167,-21.35,86,98,4.23,RU,1612662247
109,mahebourg,-20.4081,57.7,75.0,86,0,3.0,MU,1612662438
110,atuona,-9.8,-139.0333,79.99,80,73,18.21,PF,1612662445
111,itarema,-2.9248,-39.9167,77.97,84,28,9.48,BR,1612662513
112,santa fe,-31.6333,-60.7,75.0,65,0,6.4,AR,1612662765
113,atuntaqui,0.3333,-78.2167,59.0,88,40,4.61,EC,1612662947
114,university place,47.2356,-122.5504,46.99,81,75,14.97,US,1612662947
115,lebu,-37.6167,-73.65,57.81,93,24,1.86,CL,1612662442
116,port blair,11.6667,92.75,80.98,70,0,9.84,IN,1612662471
117,swan hill,-35.3378,143.5544,75.36,38,40,11.39,AU,1612662513
118,dungarvan,52.0881,-7.6253,39.99,86,39,4.0,IE,1612662948
119,san quintin,30.4833,-115.95,60.12,72,0,6.78,MX,1612662281
120,khatanga,71.9667,102.5,-35.28,78,0,8.55,RU,1612662494
121,tateyama,34.9833,139.8667,53.6,66,20,5.75,JP,1612662948
122,kaitangata,-46.2817,169.8464,66.0,76,2,8.01,NZ,1612662515
123,karpogory,64.0019,44.4451,-18.6,85,69,9.95,RU,1612662533
124,lorengau,-2.0226,147.2712,86.38,66,100,5.55,PG,1612662543
125,chuy,-33.6971,-53.4616,66.58,90,0,8.77,UY,1612662456
126,lagoa,39.05,-27.9833,59.99,92,100,26.64,PT,1612662665
127,coquimbo,-29.9533,-71.3436,60.8,82,0,6.91,CL,1612662654
128,keti bandar,24.1447,67.4497,64.02,33,0,8.63,PK,1612662948
129,nantucket,41.2835,-70.0995,39.2,70,1,16.11,US,1612662484
130,astara,38.5,48.6667,37.4,100,75,4.61,AZ,1612662949
131,san cristobal,7.7669,-72.225,66.36,90,100,1.21,VE,1612662294
132,melo,-32.3667,-54.1833,67.57,62,0,2.55,UY,1612662949
133,coihaique,-45.5752,-72.0662,68.0,40,0,19.57,CL,1612662489
134,abu samrah,35.3029,37.1841,49.15,79,0,6.22,SY,1612662381
135,talaya,61.3833,152.75,-5.76,87,100,6.96,RU,1612662949
